<meta message midi_port port=0 time=0>
note_on channel=9 note=36 velocity=0 time=8
note_on channel=9 note=42 velocity=0 time=5
note_on channel=9 note=40 velocity=127 time=35
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=54 velocity=106 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=54 velocity=0 time=24
note_on channel=9 note=42 velocity=76 time=2
note_on channel=9 note=40 velocity=0 time=11
note_on channel=9 note=42 velocity=0 time=1
note_on channel=9 note=36 velocity=113 time=36
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=19
note_on channel=9 note=42 velocity=72 time=29
note_on channel=9 note=36 velocity=0 time=3
note_on channel=9 note=42 velocity=0 time=10
note_on channel=9 note=36 velocity=102 time=11
note_on channel=9 note=36 velocity=0 time=19
note_on channel=9 note=40 velocity=121 time=5
note_on channel=9 note=46 velocity=104 time=0
note_on channel=9 note=54 velocity=106 time=0
note_on channel=9 note=46 velocity=0 time=23
note_on channel=9 note=54 velocity=0 time=28
note_on channel=9 note=40 velocity=0 time=6
note_on channel=9 note=36 velocity=102 time=39
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=23
note_on channel=9 note=42 velocity=43 time=25
note_on channel=9 note=36 velocity=0 time=12
note_on channel=9 note=42 velocity=0 time=3
note_on channel=9 note=40 velocity=121 time=33
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=21
note_on channel=9 note=42 velocity=74 time=27
note_on channel=9 note=40 velocity=0 time=11
note_on channel=9 note=42 velocity=0 time=5
note_on channel=9 note=36 velocity=113 time=32
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=42 velocity=76 time=26
note_on channel=9 note=36 velocity=0 time=8
note_on channel=9 note=42 velocity=0 time=8
note_on channel=9 note=40 velocity=121 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=23
note_on channel=9 note=42 velocity=68 time=25
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=0 time=2
note_on channel=9 note=36 velocity=113 time=30
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=36 velocity=0 time=25
note_on channel=9 note=42 velocity=74 time=1
note_on channel=9 note=42 velocity=0 time=15
note_on channel=9 note=40 velocity=121 time=33
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=42 velocity=62 time=26
note_on channel=9 note=40 velocity=0 time=11
note_on channel=9 note=42 velocity=0 time=7
note_on channel=9 note=36 velocity=108 time=30
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=42 velocity=96 time=26
note_on channel=9 note=36 velocity=0 time=8
note_on channel=9 note=42 velocity=0 time=9
note_on channel=9 note=40 velocity=127 time=31
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=19
note_on channel=9 note=40 velocity=0 time=27
note_on channel=9 note=42 velocity=90 time=2
note_on channel=9 note=42 velocity=0 time=19
note_on channel=9 note=42 velocity=108 time=28
note_on channel=9 note=36 velocity=113 time=1
note_on channel=9 note=42 velocity=0 time=27
note_on channel=9 note=42 velocity=41 time=21
note_on channel=9 note=36 velocity=0 time=3
note_on channel=9 note=42 velocity=0 time=18
note_on channel=9 note=40 velocity=127 time=27
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=25
note_on channel=9 note=40 velocity=0 time=15
note_on channel=9 note=42 velocity=51 time=8
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=36 velocity=113 time=26
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=28
note_on channel=9 note=36 velocity=0 time=7
note_on channel=9 note=42 velocity=76 time=13
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=127 time=32
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=26
note_on channel=9 note=40 velocity=0 time=13
note_on channel=9 note=42 velocity=62 time=9
note_on channel=9 note=42 velocity=0 time=18
note_on channel=9 note=36 velocity=119 time=30
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=36 velocity=0 time=9
note_on channel=9 note=42 velocity=64 time=15
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=121 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=27
note_on channel=9 note=40 velocity=0 time=13
note_on channel=9 note=42 velocity=68 time=8
note_on channel=9 note=42 velocity=0 time=20
note_on channel=9 note=36 velocity=119 time=28
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=25
note_on channel=9 note=36 velocity=0 time=12
note_on channel=9 note=42 velocity=70 time=11
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=40 velocity=127 time=31
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=40 velocity=0 time=19
note_on channel=9 note=42 velocity=72 time=7
note_on channel=9 note=42 velocity=0 time=18
note_on channel=9 note=36 velocity=113 time=30
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=25
note_on channel=9 note=36 velocity=0 time=11
note_on channel=9 note=42 velocity=76 time=12
note_on channel=9 note=42 velocity=0 time=18
note_on channel=9 note=40 velocity=127 time=30
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=40 velocity=0 time=14
note_on channel=9 note=42 velocity=70 time=10
note_on channel=9 note=42 velocity=0 time=20
note_on channel=9 note=36 velocity=108 time=28
note_on channel=9 note=42 velocity=102 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=36 velocity=0 time=5
note_on channel=9 note=42 velocity=78 time=21
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=127 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=21
note_on channel=9 note=40 velocity=0 time=14
note_on channel=9 note=42 velocity=80 time=13
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=36 velocity=119 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=23
note_on channel=9 note=36 velocity=0 time=10
note_on channel=9 note=42 velocity=78 time=15
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=40 velocity=127 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=40 velocity=0 time=14
note_on channel=9 note=42 velocity=76 time=10
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=36 velocity=113 time=31
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=36 velocity=0 time=12
note_on channel=9 note=42 velocity=78 time=14
note_on channel=9 note=42 velocity=0 time=17
note_on channel=9 note=40 velocity=127 time=31
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=22
note_on channel=9 note=40 velocity=0 time=13
note_on channel=9 note=42 velocity=78 time=13
note_on channel=9 note=42 velocity=0 time=16
note_on channel=9 note=36 velocity=125 time=32
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=36 velocity=0 time=13
note_on channel=9 note=42 velocity=74 time=11
note_on channel=9 note=42 velocity=0 time=18
note_on channel=9 note=40 velocity=127 time=30
